"en","zh-tw"
"Devices","裝置"
"Server","服務器"
"General Audio/Video Conferencing Settings can only be modified by the GM","通用的語音/視訊設定只能由GM修改。"
"Audio/Video Conferencing Mode","語音/視訊會議模式"
"Only a Game Master user may change this setting, which will require Foundry VTT to reload.","只有GM可以修改這些設定，需要重載Foundry VTT。"
"Disabled","禁用"
"Audio Only","僅限音訊"
"Video Only","僅限視訊"
"Audio/Video Enabled","啓用語音/視訊"
"Toggle video","切換視訊"
"Configure Settings","設定"
"Send to Dock","發送到Dock"
"Pop out","彈出"
"Push-to-Talk/Mute Key","發言/靜音鍵"
"Assign a keyboard key which, in PTT mode, enables voice while held. If not in PTT mode, the same key mutes while pressed.","設定在按住發言模式下按住發言的按鍵。非按住發言模式下，該鍵將用於靜音。"
"Voice Broadcasting Mode","語音模式"
"Choose how your voice is broadcast in AV calls.","選擇你的語音在語音/視訊通話中啓用的方式。"
"Always Enabled","始終啓用"
"Voice Activation","啓用聲音"
"Push-to-Talk","按鍵發話"
"Allow User Video","允許用戶視訊"
"Block User Video","阻止用戶視訊"
"Allow User Audio","允許用戶語音"
"Block User Audio","阻止用戶語音"
"Enable Your Video","啓用視訊"
"Disable Your Video","關閉視訊"
"Enable Your Audio","啓用語音"
"Mute Your Audio","關閉語音"
"Mute Others' Audio","關閉其他用戶的語音"
"Unmute Others' Audio","僅開啓其他用戶的語音"
"Show Players List","顯示玩家列表"
"Hide Players List","隱藏玩家列表"
"Cycle Video Size","切換視訊大小"
"Unable to capture from your Audio devices; Sharing Video only","無法獲取你的音訊裝置；僅分享視訊"
"Unable to capture from your Video devices; Sharing Audio only","無法獲取你的視訊裝置；僅分享音訊"
"Unable to capture from your Audio & Video devices","無法捕獲你的音訊和視訊裝置"
"Unable to capture from your Video devices","無法捕獲你的視訊裝置"
"Unable to capture from your Audio devices","無法捕獲你的音訊裝置"
"Error connection to Audio/Video Signalling Server","在連接語音/視訊信號服務器時出錯"
"Lost connection to the Audio/Video Signalling server. Trying to re-establish connection.","與語音/視訊信號服務器失去連接。試圖重新增立連接。"
"WebRTC Error : ","WebRTC錯誤："
"You cannot use Audio/Video calls unless your Foundry VTT server is using SSL certificates. See the online documentation for instructions.","無法使用語音/視訊通信，除非你的Foundry VTT服務器正在使用SSL證書。有關說明，請參閱連線說明。"
"You cannot enable your camera because you do not have permission to broadcast your video feed.","你沒有廣播視訊流的權限，無法啓用攝像頭。"
"You cannot enable your microphone because you do not have permission to broadcast your audio feed.","你沒有廣播音訊流的權限，無法啓用麥克風。"
"World Title","世界的標題"
"Data Path","資料的位置"
"Game System","遊戲系統"
"Background Image","背景圖片"
"Next Session","下一次集會"
"Reset Active Modules","重置啓用MOD"
"Reset User Passwords","重置用戶訪問密碼"
"Launch in Safe Configuration","在安全模式中啓動"
"Disables all modules and active scenes, and stops any playing audio","禁用所有MOD和活動場景，並停止任何播放音頻"
"World Description","世界的描述"
