"en","ar"
"Relay Server Configuration","ضبط خادم الترحيل"
"Provided by Signalling Server","تم توفيره من قبل خادم البث"
"Custom Relay Server","خادم ترحيل مخصص"
"Relay Server URL","رابط URL خادم الترحيل"
"Relay Server Username","اسم مستخدم خادم الترحيل"
"Relay Server Password","كلمة مرور خادم الترحيل"
"General","عام"
"Devices","الأجهزة"
"Server","خادم"
"General Audio/Video Conferencing Settings can only be modified by the GM","إعدادات إجتماع الصوت/الصورة العامة يمكن تعديلها فقط من قبل منظم اللعبة"
"Audio/Video Conferencing Mode","وضع إجتماع الصوت/الصورة"
"Only a Game Master user may change this setting, which will require Foundry VTT to reload.","فقط منظم اللعبة يستطيع أن يغير هذا الإعداد، والذي يتطلب إعادة تحميل FoundryVTT."
"Disabled","إلغاء التشغيل"
"Audio Only","الصوت فقط"
"Video Only","الفيديو فقط"
"Audio/Video Enabled","تفعيل الصوت/الفيديو"
"Toggle video","تبديل ظهور الفيديو"
"Configure Settings","ضبط الإعدادات"
"Send to Dock","إرسال إلى المنصة"
"Pop out","الخروج إلى نافذة"
"Push-to-Talk/Mute Key","إضغط-لتتكلم/زر الصمت"
"Assign a keyboard key which, in PTT mode, enables voice while held. If not in PTT mode, the same key mutes while pressed.","قم بتعيين مفتاح في لوحة المفاتيح، الذي سوف يقوم بتفعيل الصوت أثناء ضغطه في وضع إضغط-لتتكلم. إذا لم تكن في وضع إضغط-لتتكلم، المفتاح ذاته سوف يصمت أثناء الضغط عليه."
"Voice Broadcasting Mode","وضع بث الصوت"
"Choose how your voice is broadcast in AV calls.","إختر كيف يتم بث صوتك في إتصالات الصوت/الفيديو."
"Always Enabled","دائماً مفعل"
"Voice Activation","تفعيل صوتي"
"Push-to-Talk","إضغط-لتتكلم"
"Allow User Video","سماح فيديو المستخدم"
"Block User Video","حجب فيديو المستخدم"
"Allow User Audio","سماح صوت المستخدم"
"Block User Audio","حجب صوت المستخدم"
"Enable Your Video","تفعيل الفيديو خاصتك"
"Disable Your Video","إلغاء الفيديو خاصتك"
"Enable Your Audio","تفعيل الصوت خاصتك"
"Mute Your Audio","تصميت الصوت خاصتك"
"Mute Others' Audio","تصميت الآخرين"
"Unmute Others' Audio","إلغاء تصميت الأخرين"
"Show Players List","إظهار قائمة اللاعبين"
"Hide Players List","إخفاء قائمة اللاعبين"
"Cycle Video Size","الدوران خلال حجم الفيديو"
"Unable to capture from your Audio devices; Sharing Video only","لا تستطيع الإلتقاط عبر أجهزة الصوت خاصتك، مشاركة الفيديو فقط."
"Unable to capture from your Video devices; Sharing Audio only","لا تستطيع الإلتقاط عبر أجهزة الفيديو خاصتك، مشاركة الصوت فقط."
"Unable to capture from your Audio & Video devices","لا تستطيع الإلتقاط عبر أجهزة الصوت والفيديو خاصتك."
"Unable to capture from your Video devices","لا تستطيع الإلتقاط عبر أجهزة الفيديو خاصتك."
"Unable to capture from your Audio devices","لا تستطيع الإلتقاط عبر أجهزة الصوت والفيديو خاصتك"
"Error connection to Audio/Video Signalling Server","خطأ في الإتصال بخادم بث الصوت/الصورة"
"Lost connection to the Audio/Video Signalling server. Trying to re-establish connection.","تم فقدان الإتصال بخادم بث الصوت/الصورة. جاري محاولة إعادة الإتصال."
"WebRTC Error : ","خطأ WebRTC : "
"You cannot use Audio/Video calls unless your Foundry VTT server is using SSL certificates. See the online documentation for instructions.","لا تستطيع إستخدام إتصالات الصوت/الصورة إلا إذا خادم FoundryVTT يستخدم شهادات SSL. إنظر التوثيق عبر الشبكة للتعليمات."
"You cannot enable your camera because you do not have permission to broadcast your video feed.","لا تستطيع تشغيل كاميراتك لأنه ليس لديك الصلاحية لبث الفيديو خاصتك."
"You cannot enable your microphone because you do not have permission to broadcast your audio feed.","لا تستطيع تشغيل لاقط الصوت لأنه ليس لديك الصلاحية لبث الصوت خاصتك."
